lon,lat
7.59692788,47.46376961
8.046320302,47.53498442
7.576925335,46.85186365
7.576195068,46.65726622
8.838619547,47.30736014
8.593707822,47.31593756
9.471732475,47.16226017
8.045950071,47.38627493
8.012612748,47.40449707
9.049466954,47.47055011
8.805680073,47.50170785
7.298280738,46.8981936
8.56351448,46.5600097
7.243504313,46.84426686
8.913969045,46.01528128
9.050821194,47.47145782
7.996446338,47.46368682
9.050446591,47.47135509
8.56334429,46.55307507
8.782946575,47.37960087
9.016311668,47.1891837
9.049949092,47.47113712
8.719376506,47.40437695
7.75416771,47.18281253
7.146419345,46.87639736
9.059374373,47.47087952
8.558652741,46.5563781
9.240879982,47.41734627
8.160884078,47.33565757
8.357190641,46.95995472
8.337212523,47.01534667
8.810638415,47.58890184
7.567744196,46.87269846
7.566231589,47.23288671
9.011839102,47.62611495
8.35898619,46.96736183
7.37097305,46.22773353
9.184835848,47.22163961
7.39312362,47.10897224
7.052190786,46.12660834
7.663593849,47.13489334
8.398040032,46.94226711
8.555793161,46.56379235
8.294988825,47.02748974
8.555889158,46.56022879
7.689500258,46.68448335
7.55415526,46.87282083
6.835130394,46.73957521
8.325052674,47.46094436
7.27372459,46.47806219
7.577783122,46.8438028
6.883946817,46.45685241
8.66156732,47.72286921
6.62557243,46.560214
7.404148383,46.87407812
7.034759647,46.13413945
7.533334399,47.14124392
7.131195834,47.41951997
6.563117117,46.75962431
6.84297202,46.46616196
6.973265556,46.08038656
9.59265088,47.39864633
7.314953721,46.13707308
6.868900029,46.45804613
6.988901202,47.48315402
6.649798826,46.68381902
8.955936439,47.52179402
8.185386428,47.04613795
9.273984658,47.31068173
6.859279149,46.47518842
7.299345381,46.1733519
7.84158803,46.68486679
8.84122307,47.27810081
8.956975211,47.52189735
9.262910582,47.37986257
6.708760241,46.54038546
6.879428785,46.52496467
7.20005462,46.19124803
9.257219434,47.34002497
8.990070606,47.23632186
6.5818002,46.56125949
6.6445474,46.76697676
7.679240763,46.95554545
6.862397835,46.47334218
9.421670546,47.3637495
6.867736552,46.45851705
7.910063031,47.34065925
6.96501543,46.30957263
9.2777597,47.29854774
8.797653472,47.25937151
7.195625295,46.16510628
7.113970358,46.13699572
8.223604524,47.30348741
8.83773235,47.27705472
7.113970358,46.13699572
9.427315956,47.32128446
6.626479371,46.54499915
9.039847709,47.20522336
6.55471615,46.65343308
7.021742789,46.94261136
6.869692601,46.45818505
6.92099531,46.3735556
6.920151309,46.36125444
6.042181671,46.1892039
6.865400631,46.74158475
6.855735802,46.4680905
8.059862135,47.31971295
7.813148845,47.43873712
6.867907486,46.45958842
9.53804455,46.89484622
6.895303781,46.35772832
8.257525333,47.41054158
9.084954778,47.46747767
7.78908395,47.23030304
9.292224029,47.60639301
7.790372101,47.21733771
7.732706398,47.19797147
8.048263982,47.40795741
9.373953822,47.57177147
8.730977917,46.88696873
9.070704327,47.53269244
9.429767509,47.34619155
8.141372224,47.3741852
9.292163408,47.60580024
9.015755476,47.39405466
7.296284506,46.93812997
7.341697349,47.10436151
9.491562077,47.11829504
8.179690537,46.36305872
9.209030343,47.64057233
9.588782281,47.42754644
9.001530191,47.4004822
8.984634178,46.04092886
9.874375267,46.53311881
8.606769804,47.139195
9.874375267,46.53311881
8.615080797,47.68774979
8.74727331,47.4914447
8.070140493,47.18444642
6.598393088,46.72203487
9.582612015,47.42314435
8.61438748,46.88333197
7.276317758,46.87917532
8.187131249,47.35234659
8.88517337,47.59023576
8.270547847,46.94190521
9.544780185,47.42494674
8.799631004,47.36186403
8.983711385,46.04073459
6.64206367,46.80740481
9.571794374,47.43043451
7.228430373,46.16888762
9.609016057,47.36774794
8.216890034,47.61758288
8.44795989,47.16924132
8.773613007,46.67921331
7.081040746,46.68931178
7.906193915,47.44282403
9.393612998,47.46559641
7.258041309,46.86819148
7.108367337,46.82476783
8.271406217,47.3364425
8.607715587,47.4264112
8.783716852,47.15511851
9.153404954,47.55534562
7.542327468,46.95029008
8.679459634,47.19069973
7.99393329,47.21629425
8.727006216,46.98795319
7.206499608,47.28181291
8.59828905,47.31310303
7.59900398,47.09456006
8.144441583,47.37999501
9.156716835,47.56447232
8.170100769,46.83709825
9.364004169,47.38983621
7.230637633,46.78160013
7.454534432,47.21319418
6.582576412,46.72625314
7.597461633,46.8439662
7.312590923,46.86238216
8.972923454,47.63408407
7.609292185,47.51884002
9.240420697,47.43119001
8.794750757,47.31626831
6.520251179,46.54453118
9.330336171,47.40986163
8.999252654,47.23819501
9.381494757,47.4393051
7.26281557,46.74448533
7.376715901,47.19175262
8.770724484,47.5571473
8.552612869,47.56948682
8.729562968,47.14895609
8.627024173,47.02949754
9.378571932,47.5708216
6.520769625,46.72587075
8.623673322,46.89685657
7.944741618,46.921471
9.231701632,47.44156352
9.126037604,47.42804042
9.057526048,47.47466567
8.967576332,47.42926444
8.800463101,47.15086417
8.528128077,47.37237269
7.581729088,47.15632354
9.420840766,47.3891446
6.419601087,46.48403534
8.401124077,47.27951133
6.639935585,46.57669776
9.322609558,47.0884836
9.095560883,47.5749882
6.262321017,46.42116479
8.782350829,47.57917674
9.338772811,47.58757529
9.15218457,46.9850403
8.783257608,47.64121269
8.348155262,47.12399889
9.490482286,47.39724044
8.060037373,47.38477895
8.033004621,46.75466492
7.472827751,46.95432521
8.993838837,47.51777392
7.444060082,46.82288217
7.569089036,46.75031486
7.895122673,46.56027285
7.19101352,46.79559857
8.099799157,47.08179815
7.292902759,46.9405364
9.057526048,47.47466567
8.736956368,47.23902113
8.781578833,47.57440936
8.300020912,47.33444257
7.955568727,47.54422957
7.119393929,47.40319031
8.433920986,47.49101892
9.048319384,46.98588914
8.113923867,47.08660946
8.718350506,47.31424451
6.528659556,46.53067278
7.522562256,46.27322367
9.352154296,47.53237843
6.54908775,46.62239759
6.884818182,46.70610292
7.720630651,46.91430704
