;Date;Consumption;Prediction
154;2017-12-18;1382035221.665;0
155;2017-12-25;1283790299.014;0
156;2018-01-01;1212283279.32;0
157;2018-01-08;1225613924.969;0
158;2018-01-15;1301639469.103;0
159;2018-01-22;1317986850.163;0
160;2018-01-29;1258018391.844;0
161;2018-02-05;1311851011.672;0
162;2018-02-12;1336216106.824;0
163;2018-02-19;1323173443.696;0
164;2018-02-26;1386867539.405;0
165;2018-03-05;1394199660.365;0
166;2018-03-12;1276143043.366;0
167;2018-03-19;1295893291.874;0
168;2018-03-26;1295300634.108;0
169;2018-04-02;1179365743.478;0
170;2018-04-09;1149385883.817;0
171;2018-04-16;1107399166.4;0
172;2018-04-23;1081720581.819;0
173;2018-04-30;1084585254.013;0
174;2018-05-07;1087521908.711;0
175;2018-05-14;1047506004.582;0
176;2018-05-21;1082993678.428;0
177;2018-05-28;1061166588.809;0
178;2018-06-04;1067057518.982;0
179;2018-06-11;1068770534.349;0
180;2018-06-18;1089319148.202025;0
181;2018-06-25;1107878433.974743;0
182;2018-07-02;1064979745.539776;0
183;2018-07-09;1043891458.317729;0
184;2018-07-16;1016883993.232702;0
185;2018-07-23;1000382472.810061;0
186;2018-07-30;981340361.748301;0
187;2018-08-06;961118507.294846;0
188;2018-08-13;1046252284.768227;0
189;2018-08-20;1035692306.64725;0
190;2018-08-27;1066982251.7314761;0
191;2018-09-03;1074128956.936607;0
192;2018-09-10;1054555210.120623;0
193;2018-09-17;1080120627.896628;0
194;2018-09-24;1081698867.62421;0
195;2018-10-01;1071385785.659565;0
196;2018-10-08;1066543095.761804;0
197;2018-10-15;1068220413.537567;0
198;2018-10-22;1072777441.339326;0
199;2018-10-29;1160111431.308152;0
200;2018-11-05;1191026539.661884;0
201;2018-11-12;1171948157.49409;0
202;2018-11-19;1252631893.17134;0
203;2018-11-26;1306496220.257419;0
204;2018-12-03;1312615224.269292;0
205;2018-12-10;1273388931.168286;0
206;2018-12-17;1351735215.701167;0
207;2018-12-24;1272194350.870429;0
208;2018-12-31;1159919850.060698;0
209;2019-01-07;1258176781.268146;0
210;2019-01-14;1364874943.718509;0
211;2019-01-21;1359957387.496039;0
212;2019-01-28;1389627507.749641;0
213;2019-02-04;1361081073.772192;0
214;2019-02-11;1361475452.3625271;0
215;2019-02-18;1295466012.125377;0
216;2019-02-25;1255848952.061882;0
217;2019-03-04;1231514052.529716;0
218;2019-03-11;1289302624.2827501;0
219;2019-03-18;1292495818.229184;0
220;2019-03-25;1199121107.296614;0
221;2019-04-01;1162668439.179735;0
222;2019-04-08;1168124647.006326;0
223;2019-04-15;1159386126.9764931;0
224;2019-04-22;1096448509.853961;0
225;2019-04-29;1123975165.03064;0
226;2019-05-06;1163979478.027166;0
227;2019-05-13;1133365708.333417;0
228;2019-05-20;1119325702.28581;0
229;2019-05-27;1134525707.768156;0
230;2019-06-03;1086262749.15136;0
231;2019-06-10;1100195826.638541;0
232;2019-06-17;1131405193.723923;0
233;2019-06-24;1116136751.69996;0
234;2019-07-01;1149354957.312795;0
235;2019-07-08;1074286088.138705;0
236;2019-07-15;1043120245.305852;0
237;2019-07-22;1039302221.965306;0
238;2019-07-29;1031755452.068806;0
239;2019-08-05;904290089.190012;0
240;2019-08-12;1047577809.971956;0
241;2019-08-19;1025292827.877595;0
242;2019-08-26;1038728761.779822;0
243;2019-09-02;1073268458.802482;0
244;2019-09-09;1033723266.101745;0
245;2019-09-16;1076410506.871635;0
246;2019-09-23;1098087342.779776;0
247;2019-09-30;1089758079.227485;0
248;2019-10-07;1136164215.441552;0
249;2019-10-14;1138199957.679263;0
250;2019-10-21;1144459772.891492;0
251;2019-10-28;1149348056.354871;0
252;2019-11-04;1160674241.2917361;0
253;2019-11-11;1231640634.936413;0
254;2019-11-18;1273757517.66946;0
255;2019-11-25;1265724381.653619;0
256;2019-12-02;1316199750.449288;0
257;2019-12-09;1318929075.908865;0
258;2019-12-16;1314572607.107763;0
259;2019-12-23;1251235456.369666;0
260;2019-12-30;1155062111.754428;0
261;2020-01-06;1197103604.532973;0
262;2020-01-13;1275668011.378908;0
263;2020-01-20;1298808890.402144;0
264;2020-01-27;1357402452.658166;0
265;2020-02-03;1296156218.372439;0
266;2020-02-10;1301137473.151829;0
267;2020-02-17;1256785177.893543;0
268;2020-02-24;1236122517.7039201;0
269;2020-03-02;1281368560.539273;0
270;2020-03-09;1264728439.486681;0
271;2020-03-16;1227067679.843067;0
272;2020-03-23;1129886852.302637;0
273;2020-03-30;1141030208.724317;0
274;2020-04-06;1107901175.484611;0
275;2020-04-13;976927591.748685;0
276;2020-04-20;1036221948.367978;0
277;2020-04-27;1037890044.933581;0
278;2020-05-04;1076373034.640818;0
279;2020-05-11;1052075022.8794041;0
280;2020-05-18;1101857491.143526;0
281;2020-05-25;1053148352.903145;0
282;2020-06-01;1055265119.076442;0
283;2020-06-08;1085305870.961663;0
284;2020-06-15;1076215655.839524;0
285;2020-06-22;1040094713.685431;0
286;2020-06-29;1054265217.688322;0
287;2020-07-06;1066728578.834481;0
288;2020-07-13;1049754395.285487;0
289;2020-07-20;1001176938.096739;0
290;2020-07-27;979846527.803811;0
291;2020-08-03;994514020.556392;0
292;2020-08-10;1033848348.267108;0
293;2020-08-17;1052832271.066337;0
294;2020-08-24;1069281669.057854;0
295;2020-08-31;1091511410.846964;0
296;2020-09-07;1068630232.142002;0
297;2020-09-14;1055287556.764036;0
298;2020-09-21;1072322931.100183;0
299;2020-09-28;1125615217.482134;0
300;2020-10-05;1179426867.617644;0
301;2020-10-12;1166187000.97137;0
302;2020-10-19;1192037170.349865;0
303;2020-10-26;1210832179.80288;0
304;2020-11-02;1182356870.188731;0
305;2020-11-09;1167967099.165029;0
306;2020-11-16;1186762012.098459;0
307;2020-11-23;1240386716.617625;0
308;2020-11-30;1310645827.633172;0
309;2020-12-07;1376538811.09472;0
310;2020-12-14;1362701622.510241;0
311;2020-12-21;1274669230.331898;0
312;2020-12-28;1221602187.256676;0
313;2021-01-04;1260064443.320543;0
314;2021-01-11;1370790833.428136;0
315;2021-01-18;1392799836.878781;0
316;2021-01-25;1372901558.350198;0
317;2021-02-01;1356047791.997395;0
318;2021-02-08;1276710727.161317;0
319;2021-02-15;1405415701.859968;0
320;2021-02-22;1266293192.877008;0
321;2021-03-01;1209609128.047595;0
322;2021-03-08;1212661440.261203;0
323;2021-03-15;1240097057.435707;0
324;2021-03-22;1286458238.351184;0
325;2021-03-29;1183601810.125343;0
326;2021-04-05;1100668859.0461261;0
327;2021-04-12;1171312718.127775;0
328;2021-04-19;1212237054.048826;0
329;2021-04-26;1140087218.330943;0
330;2021-05-03;1134497354.368052;0
331;2021-05-10;1178486519.677644;0
332;2021-05-17;1099146213.977736;0
333;2021-05-24;1148390873.183682;0
334;2021-05-31;1111034804.171669;0
335;2021-06-07;1063696826.005249;0
336;2021-06-14;1091421500.438978;0
337;2021-06-21;1104549304.348326;0
338;2021-06-28;1072825692.959839;0
339;2021-07-05;1061303812.948127;0
340;2021-07-12;1062960080.574296;0
341;2021-07-19;1057386059.024952;0
342;2021-07-26;1013176655.143903;0
343;2021-08-02;1046170288.953903;0
344;2021-08-09;1020830542.270031;0
345;2021-08-16;1043180916.491259;0
346;2021-08-23;1053793085.438457;0
347;2021-08-30;1046047232.953329;0
348;2021-09-06;1058484151.817363;0
349;2021-09-13;1057750788.975335;0
350;2021-09-20;1101529453.424613;0
351;2021-09-27;1098992100.463779;0
352;2021-10-04;1119706354.272885;0
353;2021-10-11;1174265425.048547;0
354;2021-10-18;1167318251.368264;0
355;2021-10-25;1142585763.1505451;0
356;2021-11-01;1201374103.259269;0
357;2021-11-08;1276467987.092565;0
358;2021-11-15;1282292230.249835;0
359;2021-11-22;1317220306.735782;0
360;2021-11-29;1412897329.386655;0
361;2021-12-06;1441506964.415141;0
362;2021-12-13;1456529130.646889;0
363;2021-12-20;1424652633.98003;0
364;2021-12-27;1357652187.948967;0
365;2022-01-03;1209803474.570382;0
366;2022-01-10;1355732056.743728;0
367;2022-01-17;1428657741.424897;0
368;2022-01-24;1417141636.305235;0
369;2022-01-31;1380600721.743508;0
370;2022-02-07;1381569927.83043;0
371;2022-02-14;1363820982.04252;0
372;2022-02-21;1335687065.364864;0
373;2022-02-28;1313160911.851755;0
374;2022-03-07;1262880249.127022;0
375;2022-03-14;1258767550.241185;0
376;2022-03-21;1234030962.225842;0
377;2022-03-28;1189795980.298297;0
378;2022-04-04;1231369742.56174;0
379;2022-04-11;1232638349.817675;0
380;2022-04-18;1077118333.30197;0
381;2022-04-25;1109388260.415723;0
382;2022-05-02;1129494605.090395;0
383;2022-05-09;1092783373.135284;0
384;2022-05-16;1103423043.381337;0
385;2022-05-23;1092915931.680761;0
386;2022-05-30;1080202563.821543;0
387;2022-06-06;1113269308.508902;0
388;2022-06-13;1138885058.277667;0
389;2022-06-20;1074387791.730052;0
390;2022-06-27;1132040824.576618;0
391;2022-07-04;1124221521.387708;0
392;2022-07-11;1081450343.446168;0
393;2022-07-18;1066858476.496258;0
394;2022-07-25;1043807566.57005;0
395;2022-08-01;987886998.792571;0
396;2022-08-08;1032558577.092689;0
397;2022-08-15;1028389001.369562;0
398;2022-08-22;1093418509.554181;0
399;2022-08-29;1068919230.327118;0
400;2022-09-05;1093342722.333654;0
401;2022-09-12;1064379260.554746;0
402;2022-09-19;1127641951.402312;0
403;2022-09-26;1065129197.733335;0
404;2022-10-03;1190245839.921596;0
405;2022-10-10;1122587862.385743;0
406;2022-10-17;1099848012.407304;0
407;2022-10-24;1156637527.789537;0
408;2022-10-31;1086055534.232422;0
409;2022-11-07;1184959500.634783;0
410;2022-11-14;1177539713.796975;0
411;2022-11-21;1244294265.700456;0
412;2022-11-28;1299051967.0426111;0
413;2022-12-05;1339878258.031258;0
414;2022-12-12;1396177729.605364;0
415;2022-12-19;1398434194.090111;0
416;2022-12-26;1284632668.738277;0
417;2023-01-02;1156681058.69786;0
418;2023-01-09;1201601764.389041;0
419;2023-01-16;1302221354.71;0
420;2023-01-23;1411143523.776128;0
421;2023-01-30;1386800612.431155;0
422;2023-02-06;1329109555.222382;0
423;2023-02-13;1296321972.260442;0
424;2023-02-20;1213111636.114557;0
425;2023-02-27;1188042420.940417;0
426;2023-03-06;1216506169.5780435;0
427;2023-03-13;1244969918.2156696;1
428;2023-03-20;1236581689.571531;1
429;2023-03-27;1195741367.1771781;1
430;2023-04-03;1237767146.8973622;1
431;2023-04-10;1243247741.0018425;1
432;2023-04-17;1090800579.160342;1
433;2023-04-24;1122612121.0415716;1
434;2023-05-01;1143744224.3642046;1
435;2023-05-08;1105986170.662972;1
436;2023-05-15;1113824379.050071;1
437;2023-05-22;1105058125.281376;1
438;2023-05-29;1091321053.9201815;1
439;2023-06-05;1123310013.4586067;1
440;2023-06-12;1148652802.8364947;1
441;2023-06-19;1085733070.4308639;1
442;2023-06-26;1143184041.6507332;1
443;2023-07-03;1133279749.45711;1
444;2023-07-10;1091140637.1602004;1
445;2023-07-17;1078388370.9609427;1
446;2023-07-24;1054737963.7645115;1
447;2023-07-31;997354238.6058782;1
448;2023-08-07;1042537656.8284022;1
449;2023-08-14;1038139709.2607483;1
450;2023-08-21;1102064684.1403253;1
451;2023-08-28;1078696212.177652;1
452;2023-09-04;1103066538.8536987;1
453;2023-09-11;1076096390.8079395;1
454;2023-09-18;1139203179.1239543;1
455;2023-09-25;1076244344.4827588;1
456;2023-10-02;1199511815.7330098;1
457;2023-10-09;1134051013.6502023;1
458;2023-10-16;1110945140.9327464;1
459;2023-10-23;1164725412.6274378;1
460;2023-10-30;1096571753.8330605;1
461;2023-11-06;1198687797.8874528;1
462;2023-11-13;1193020982.7901855;1
463;2023-11-20;1259019095.2492158;1
464;2023-11-27;1313428956.9503794;1
465;2023-12-04;1354600527.8592904;1
466;2023-12-11;1407423390.6189415;1
467;2023-12-18;1407308090.295503;1
468;2023-12-25;1281980426.771091;1
469;2024-01-01;1142155910.043613;1
470;2024-01-08;1187933437.0781102;1
471;2024-01-15;1287121454.4335935;1
472;2024-01-22;1393151493.5893342;1
473;2024-01-29;1369543853.067425;1
474;2024-02-05;1316673916.6712582;1
475;2024-02-12;1283096819.6907027;1
476;2024-02-19;1205891864.2777689;1
477;2024-02-26;1183794594.7015586;1
478;2024-03-04;1208761862.6583366;1
479;2024-03-11;1236164251.4560096;1
480;2024-03-18;1224701521.2796018;1
481;2024-03-25;1185970993.3893065;1
482;2024-04-01;1229835673.7401114;1
483;2024-04-08;1232137076.255503;1
484;2024-04-15;1077073582.8044624;1
485;2024-04-22;1109503648.6937895;1
486;2024-04-29;1129698975.4640212;1
487;2024-05-06;1092998590.5745726;1
488;2024-05-13;1103600473.0684044;1
489;2024-05-20;1093129764.9435349;1
490;2024-05-27;1080400235.2795923;1
491;2024-06-03;1113448581.202194;1
